央视频道,#genre#
辽宁卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?msisdn=202601291111548f5adf2ba4194559bed31828b9437dbd&mdspid=&spid=600572&netType=4&sid=5910022198&pid=2028597139&timestamp=20260129111154&Channel_ID=0116_2600001300-99000-201600010013640&ProgramID=630291707&ParentNodeID=-99&assertID=5910022198&client_ip=36.134.81.212&SecurityKey=20260129111154&promotionId=&mvid=5101043014&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=93c0fd4f12526e4b8823fc7a07f995bb
东南卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/dongnanws/51/20230724/index.m3u8?msisdn=2026012912194221eff9992e194a11867294d520078018&mdspid=&spid=600717&netType=4&sid=5910022182&pid=2028597139&timestamp=20260129121942&Channel_ID=0116_2600001300-99000-201600010013676&ProgramID=849116810&ParentNodeID=-99&assertID=5910022182&client_ip=36.155.23.155&SecurityKey=20260129121942&promotionId=&mvid=5900006229&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=36d04b5be98522f075ef0970adff759f
吉林卫视,http://hlsztemgsplive.miguvideo.com:8080/envivo_v/2018/SD/jilin/1000/index.m3u8?msisdn=202601291112558cb2eb6535d040c4b6bae3e4912174aa&mdspid=&spid=600633&netType=4&sid=5910022164&pid=2028597139&timestamp=20260129111255&Channel_ID=0116_2600001300-99000-201600010013642&ProgramID=947472500&ParentNodeID=-99&assertID=5910022164&client_ip=36.134.81.64&SecurityKey=20260129111255&promotionId=&mvid=5900004357&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=f636cc275bb249020e3491c42c2136ad
江西卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/jxwshd/51/20190820/index.m3u8?msisdn=20260129111355e320197059144900a8c44afe90ac0c68&mdspid=&spid=600633&netType=4&sid=5910021492&pid=2028597139&timestamp=20260129111355&Channel_ID=0116_2600001300-99000-201600010013644&ProgramID=783847495&ParentNodeID=-99&assertID=5910021492&client_ip=36.134.81.113&SecurityKey=20260129111355&promotionId=&mvid=5900004351&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=be15c75aecef92c2f9dff6e1671c9acb
兵团卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/btws/51/20250804/index.m3u8?msisdn=20260129111224f99cbb78063848b3a69a5a6d701b3a39&mdspid=&spid=600697&netType=4&sid=5910022192&pid=2028597139&timestamp=20260129111224&Channel_ID=0116_2600001300-99000-201600010013641&ProgramID=956923145&ParentNodeID=-99&assertID=5910022192&client_ip=36.134.81.98&SecurityKey=20260129111224&promotionId=&mvid=5900006716&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=e60f6ae1ae0c1179c512e64fea9a76b2
广东地区,#genre#
广东体育,http://120.238.85.131:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
广东少儿,http://120.238.85.131:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
广东影视,http://120.238.85.131:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
广东4K超高清,http://183.11.239.36:808/hls/9/index.m3u8
湖南地区,#genre#
电视剧频道,#genre#
放映室5,#genre#
粤语频道,#genre#
少儿动漫,#genre#
综艺频道,#genre#
浙江地区,#genre#
浙江少儿,http://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江少儿,http://ali-xwl.cztv.com/live/channel08720Plxw.m3u8
